scenario,persona,day_type,sequence,activity_id,activity_name,zone,arrival_time,queue_wait_min,standby_wait_min,start_time,end_time,walk_min,duration_min,utility,score_contribution
问题1优化路线,普通游客,双休日,4,lunch,午餐休整,奇想花园,12:48,8,0,12:56,13:41,3,45,5.0,4.6659999999999995
问题1优化路线,普通游客,双休日,5,soaring,飞越地平线,探险岛,13:48,68,0,14:56,15:04,7,8,10.0,7.493999999999999
问题1优化路线,普通游客,双休日,6,castle_show,城堡日间演出,奇想花园,15:11,0,19,15:30,15:55,7,25,6.0,5.494
问题1优化路线,普通游客,双休日,7,pirates,加勒比海盗,宝藏湾,16:04,63,0,17:07,17:17,9,10,9.0,6.633
问题1优化路线,普通游客,双休日,8,dinner,晚餐休整,米奇大街,17:27,12,3,17:42,18:22,10,40,4.0,3.34
问题1优化路线,普通游客,双休日,9,roaring_rapids,雷鸣山漂流,探险岛,18:32,66,0,19:38,19:48,10,10,8.0,5.51
问题1优化路线,普通游客,双休日,10,fireworks,奇梦之光幻影秀,奇想花园,19:56,0,34,20:30,20:55,8,25,11.0,10.176
问题1优化路线,普通游客,节假日,1,soaring,飞越地平线,探险岛,09:09,90,0,10:39,10:47,9,8,10.0,6.688
问题1优化路线,普通游客,节假日,2,parade,米奇童话专列,奇想花园,10:54,0,81,12:15,12:45,7,30,8.0,6.254
问题1优化路线,普通游客,节假日,3,lunch,午餐休整,奇想花园,12:48,13,0,13:01,13:46,3,45,5.0,4.491
问题1优化路线,普通游客,节假日,4,pirates,加勒比海盗,宝藏湾,13:55,72,0,15:07,15:17,9,10,9.0,6.318
问题1优化路线,普通游客,节假日,5,castle_show,城堡日间演出,奇想花园,15:26,0,4,15:30,15:55,9,25,6.0,5.758
问题1优化路线,普通游客,节假日,6,roaring_rapids,雷鸣山漂流,探险岛,16:03,121,0,18:04,18:14,8,10,8.0,3.6209999999999996
问题1优化路线,普通游客,节假日,7,tron,创极速光轮,明日世界,18:24,104,0,20:08,20:13,10,5,10.0,6.18
问题1优化路线,普通游客,节假日,8,fireworks,奇梦之光幻影秀,奇想花园,20:21,0,9,20:30,20:55,8,25,11.0,10.676
问题1优化路线,家庭亲子游,工作日,1,woody_roundup,胡迪牛仔嘉年华,玩具总动员,09:07,15,0,09:22,09:30,7,8,8.0,6.979
问题1优化路线,家庭亲子游,工作日,2,pirates,加勒比海盗,宝藏湾,09:40,26,0,10:06,10:16,10,10,8.0,6.29
问题1优化路线,家庭亲子游,工作日,3,seven_dwarfs,七个小矮人矿山车,梦幻世界,10:26,38,0,11:04,11:10,10,6,8.0,5.63
问题1优化路线,家庭亲子游,工作日,4,parade,米奇童话专列,奇想花园,11:15,0,60,12:15,12:45,5,30,12.0,10.66
问题1优化路线,家庭亲子游,工作日,5,buzz,巴斯光年星际营救,明日世界,12:51,21,0,13:12,13:20,6,8,8.0,6.677
问题1优化路线,家庭亲子游,工作日,6,lunch,午餐休整,奇想花园,13:26,4,0,13:30,14:15,6,45,10.0,9.612
问题1优化路线,家庭亲子游,工作日,7,castle_show,城堡日间演出,奇想花园,14:18,0,72,15:30,15:55,3,25,10.0,8.476
问题1优化路线,家庭亲子游,工作日,8,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,7.0,4.7379999999999995
问题1优化路线,家庭亲子游,工作日,9,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:20,10,0,18:30,18:50,4,20,8.0,7.338
问题1优化路线,家庭亲子游,工作日,10,crystal_grotto,晶彩奇航,梦幻世界,18:55,19,0,19:14,19:26,5,12,8.0,6.815
问题1优化路线,家庭亲子游,工作日,11,peter_pan,小飞侠天空奇遇,梦幻世界,19:30,23,0,19:53,20:00,4,7,9.0,7.623
问题1优化路线,家庭亲子游,工作日,12,pooh,小熊维尼历险记,梦幻世界,20:03,16,0,20:19,20:25,3,6,9.0,8.036
问题1优化路线,家庭亲子游,工作日,13,fireworks,奇梦之光幻影秀,奇想花园,20:30,0,0,20:30,20:55,5,25,8.0,7.86
问题1优化路线,家庭亲子游,双休日,1,seven_dwarfs,七个小矮人矿山车,梦幻世界,09:06,60,0,10:06,10:12,6,6,8.0,4.532
问题1优化路线,家庭亲子游,双休日,2,peter_pan,小飞侠天空奇遇,梦幻世界,10:15,45,0,11:00,11:07,3,7,9.0,6.441000000000001
问题1优化路线,家庭亲子游,双休日,3,pooh,小熊维尼历险记,梦幻世界,11:10,47,0,11:57,12:03,3,6,9.0,6.331
问题1优化路线,家庭亲子游,双休日,4,parade,米奇童话专列,奇想花园,12:09,0,6,12:15,12:45,6,30,12.0,11.712000000000002
问题1优化路线,家庭亲子游,双休日,5,lunch,午餐休整,奇想花园,12:48,8,0,12:56,13:41,3,45,10.0,9.476
问题1优化路线,家庭亲子游,双休日,6,pirates,加勒比海盗,宝藏湾,13:50,47,0,14:37,14:47,9,10,8.0,5.163
问题1优化路线,家庭亲子游,双休日,7,castle_show,城堡日间演出,奇想花园,14:56,0,34,15:30,15:55,9,25,10.0,9.068
问题1优化路线,家庭亲子游,双休日,8,crystal_grotto,晶彩奇航,梦幻世界,15:59,40,0,16:39,16:51,4,12,8.0,5.688
问题1优化路线,家庭亲子游,双休日,9,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,16:56,23,0,17:19,17:39,5,20,8.0,6.595000000000001
问题1优化路线,家庭亲子游,双休日,10,dinner,晚餐休整,米奇大街,17:43,10,0,17:53,18:33,4,40,7.0,6.338
问题1优化路线,家庭亲子游,双休日,11,woody_roundup,胡迪牛仔嘉年华,玩具总动员,18:40,38,0,19:18,19:26,7,8,8.0,5.714
问题1优化路线,家庭亲子游,双休日,12,buzz,巴斯光年星际营救,明日世界,19:31,29,0,20:00,20:08,5,8,8.0,6.265000000000001
问题1优化路线,家庭亲子游,双休日,13,fireworks,奇梦之光幻影秀,奇想花园,20:15,0,15,20:30,20:55,7,25,8.0,7.5040000000000004
问题1优化路线,家庭亲子游,节假日,1,peter_pan,小飞侠天空奇遇,梦幻世界,09:06,68,0,10:14,10:21,6,7,9.0,5.092
问题1优化路线,家庭亲子游,节假日,2,pooh,小熊维尼历险记,梦幻世界,10:24,52,0,11:16,11:22,3,6,9.0,6.056000000000001
问题1优化路线,家庭亲子游,节假日,3,parade,米奇童话专列,奇想花园,11:28,0,47,12:15,12:45,6,30,12.0,10.892000000000001
问题1优化路线,家庭亲子游,节假日,4,lunch,午餐休整,奇想花园,12:48,13,0,13:01,13:46,3,45,10.0,9.201
问题1优化路线,家庭亲子游,节假日,5,buzz,巴斯光年星际营救,明日世界,13:52,60,0,14:52,15:00,6,8,8.0,4.532
问题1优化路线,家庭亲子游,节假日,6,castle_show,城堡日间演出,奇想花园,15:07,0,23,15:30,15:55,7,25,10.0,9.344
问题1优化路线,家庭亲子游,节假日,7,crystal_grotto,晶彩奇航,梦幻世界,15:59,63,0,17:02,17:14,4,12,8.0,4.423
问题1优化路线,家庭亲子游,节假日,8,dinner,晚餐休整,米奇大街,17:19,17,11,17:47,18:27,5,40,7.0,5.705
问题1优化路线,家庭亲子游,节假日,9,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:31,33,0,19:04,19:24,4,20,8.0,6.073
问题1优化路线,家庭亲子游,节假日,10,woody_roundup,胡迪牛仔嘉年华,玩具总动员,19:33,39,0,20:12,20:20,9,8,8.0,5.603000000000001
问题1优化路线,家庭亲子游,节假日,11,fireworks,奇梦之光幻影秀,奇想花园,20:28,0,2,20:30,20:55,8,25,8.0,7.736
问题1优化路线,情侣游,工作日,1,seven_dwarfs,七个小矮人矿山车,梦幻世界,09:06,38,0,09:44,09:50,6,6,8.0,6.764
问题1优化路线,情侣游,工作日,2,mickey_photo,米奇大街合影,米奇大街,09:56,4,0,10:00,10:20,6,20,8.0,7.784
问题1优化路线,情侣游,工作日,3,soaring,飞越地平线,探险岛,10:29,41,0,11:10,11:18,9,8,9.0,7.6259999999999994
问题1优化路线,情侣游,工作日,4,parade,米奇童话专列,奇想花园,11:25,0,50,12:15,12:45,7,30,8.0,6.888
问题1优化路线,情侣游,工作日,5,lunch,午餐休整,奇想花园,12:48,4,0,12:52,13:37,3,45,6.0,5.832
问题1优化路线,情侣游,工作日,6,pirates,加勒比海盗,宝藏湾,13:46,30,0,14:16,14:26,9,10,9.0,7.9559999999999995
问题1优化路线,情侣游,工作日,7,castle_show,城堡日间演出,奇想花园,14:35,0,55,15:30,15:55,9,25,8.0,6.756
问题1优化路线,情侣游,工作日,8,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,7.0,4.936
问题1优化路线,情侣游,工作日,9,garden_walk,奇想花园漫游,奇想花园,18:21,5,0,18:26,18:51,5,25,9.0,8.77
问题1优化路线,情侣游,工作日,10,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:56,10,0,19:06,19:26,5,20,9.0,8.62
问题1优化路线,情侣游,工作日,11,tron,创极速光轮,明日世界,19:36,29,0,20:05,20:10,10,5,9.0,7.970000000000001
问题1优化路线,情侣游,工作日,12,fireworks,奇梦之光幻影秀,奇想花园,20:18,0,12,20:30,20:55,8,25,14.0,13.632
问题1优化路线,情侣游,双休日,1,soaring,飞越地平线,探险岛,09:09,60,0,10:09,10:17,9,8,9.0,7.056
问题1优化路线,情侣游,双休日,2,seven_dwarfs,七个小矮人矿山车,梦幻世界,10:25,60,0,11:25,11:31,8,6,8.0,6.072
问题1优化路线,情侣游,双休日,3,mickey_photo,米奇大街合影,米奇大街,11:37,8,0,11:45,12:05,6,20,8.0,7.664
问题1优化路线,情侣游,双休日,4,parade,米奇童话专列,奇想花园,12:10,0,5,12:15,12:45,5,30,8.0,7.82
问题1优化路线,情侣游,双休日,5,lunch,午餐休整,奇想花园,12:48,8,0,12:56,13:41,3,45,6.0,5.712
问题1优化路线,情侣游,双休日,6,tron,创极速光轮,明日世界,13:48,64,0,14:52,14:57,7,5,9.0,6.968
问题1优化路线,情侣游,双休日,7,castle_show,城堡日间演出,奇想花园,15:05,0,25,15:30,15:55,8,25,8.0,7.372
问题1优化路线,情侣游,双休日,8,garden_walk,奇想花园漫游,奇想花园,15:58,9,0,16:07,16:32,3,25,9.0,8.682
问题1优化路线,情侣游,双休日,9,dinner,晚餐休整,米奇大街,16:37,12,53,17:42,18:22,5,40,7.0,5.5
问题1优化路线,情侣游,双休日,10,pirates,加勒比海盗,宝藏湾,18:32,52,0,19:24,19:34,10,10,9.0,7.279999999999999
问题1优化路线,情侣游,双休日,11,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,19:45,13,0,19:58,20:18,11,20,9.0,8.434
问题1优化路线,情侣游,双休日,12,fireworks,奇梦之光幻影秀,奇想花园,20:23,0,7,20:30,20:55,5,25,14.0,13.78
问题1优化路线,情侣游,节假日,1,garden_walk,奇想花园漫游,奇想花园,09:05,9,0,09:14,09:39,5,25,9.0,8.65
问题1优化路线,情侣游,节假日,2,mickey_photo,米奇大街合影,米奇大街,09:44,9,0,09:53,10:13,5,20,8.0,7.65
问题1优化路线,情侣游,节假日,3,tron,创极速光轮,明日世界,10:21,82,0,11:43,11:48,8,5,9.0,6.412
问题1优化路线,情侣游,节假日,4,parade,米奇童话专列,奇想花园,11:56,0,19,12:15,12:45,8,30,8.0,7.492
问题1优化路线,情侣游,节假日,5,lunch,午餐休整,奇想花园,12:48,13,0,13:01,13:46,3,45,6.0,5.562
问题1优化路线,情侣游,节假日,6,pirates,加勒比海盗,宝藏湾,13:55,72,0,15:07,15:17,9,10,9.0,6.696
问题1优化路线,情侣游,节假日,7,castle_show,城堡日间演出,奇想花园,15:26,0,4,15:30,15:55,9,25,8.0,7.776
问题1优化路线,情侣游,节假日,8,soaring,飞越地平线,探险岛,16:02,138,0,18:20,18:28,7,8,9.0,4.748
问题1优化路线,情侣游,节假日,9,dinner,晚餐休整,米奇大街,18:37,14,0,18:51,19:31,9,40,7.0,6.436
问题1优化路线,情侣游,节假日,10,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,19:35,23,0,19:58,20:18,4,20,9.0,8.246
问题1优化路线,情侣游,节假日,11,fireworks,奇梦之光幻影秀,奇想花园,20:23,0,7,20:30,20:55,5,25,14.0,13.78
