scenario,persona,day_type,sequence,activity_id,activity_name,zone,arrival_time,queue_wait_min,standby_wait_min,start_time,end_time,walk_min,duration_min,utility,score_contribution
问题2实时调整路线,家庭亲子游,双休日,1,woody_roundup,胡迪牛仔嘉年华,玩具总动员,13:48,29,0,14:17,14:25,7,8,8.0,6.2090000000000005
问题2实时调整路线,家庭亲子游,双休日,2,castle_show,城堡日间演出,奇想花园,14:33,0,57,15:30,15:55,8,25,10.0,8.636
问题2实时调整路线,家庭亲子游,双休日,3,crystal_grotto,晶彩奇航,梦幻世界,15:59,36,0,16:35,16:47,4,12,8.0,5.9079999999999995
问题2实时调整路线,家庭亲子游,双休日,4,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,16:52,23,0,17:15,17:35,5,20,8.0,6.595000000000001
问题2实时调整路线,家庭亲子游,双休日,5,dinner,晚餐休整,米奇大街,17:39,10,0,17:49,18:29,4,40,7.0,6.338
问题2实时调整路线,家庭亲子游,双休日,6,buzz,巴斯光年星际营救,明日世界,18:36,44,0,19:20,19:28,7,8,8.0,5.384
问题2实时调整路线,家庭亲子游,双休日,7,pirates,加勒比海盗,宝藏湾,19:36,33,0,20:09,20:19,8,10,8.0,5.961
问题2实时调整路线,家庭亲子游,双休日,8,fireworks,奇梦之光幻影秀,奇想花园,20:28,0,2,20:30,20:55,9,25,8.0,7.708
问题2实时调整路线,家庭亲子游,节假日,1,woody_roundup,胡迪牛仔嘉年华,玩具总动员,13:53,60,0,14:53,15:01,7,8,8.0,4.5040000000000004
问题2实时调整路线,家庭亲子游,节假日,2,castle_show,城堡日间演出,奇想花园,15:09,0,21,15:30,15:55,8,25,10.0,9.356
问题2实时调整路线,家庭亲子游,节假日,3,buzz,巴斯光年星际营救,明日世界,16:02,88,0,17:30,17:38,7,8,8.0,2.964
问题2实时调整路线,家庭亲子游,节假日,4,dinner,晚餐休整,米奇大街,17:45,14,0,17:59,18:39,7,40,7.0,6.034000000000001
问题2实时调整路线,家庭亲子游,节假日,5,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:43,33,0,19:16,19:36,4,20,8.0,6.073
问题2实时调整路线,家庭亲子游,节假日,6,crystal_grotto,晶彩奇航,梦幻世界,19:41,32,0,20:13,20:25,5,12,8.0,6.1000000000000005
问题2实时调整路线,家庭亲子游,节假日,7,fireworks,奇梦之光幻影秀,奇想花园,20:29,0,1,20:30,20:55,4,25,8.0,7.868
问题2实时调整路线,情侣游,工作日,1,pirates,加勒比海盗,宝藏湾,13:46,16,0,14:02,14:12,9,10,9.0,8.376
问题2实时调整路线,情侣游,工作日,2,castle_show,城堡日间演出,奇想花园,14:21,0,69,15:30,15:55,9,25,8.0,6.476
问题2实时调整路线,情侣游,工作日,3,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,7.0,4.936
问题2实时调整路线,情侣游,工作日,4,garden_walk,奇想花园漫游,奇想花园,18:21,5,0,18:26,18:51,5,25,9.0,8.77
问题2实时调整路线,情侣游,工作日,5,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:56,10,0,19:06,19:26,5,20,9.0,8.62
问题2实时调整路线,情侣游,工作日,6,tron,创极速光轮,明日世界,19:36,33,0,20:09,20:14,10,5,9.0,7.85
问题2实时调整路线,情侣游,工作日,7,fireworks,奇梦之光幻影秀,奇想花园,20:22,0,8,20:30,20:55,8,25,14.0,13.712
问题2实时调整路线,情侣游,双休日,1,pirates,加勒比海盗,宝藏湾,13:50,38,0,14:28,14:38,9,10,9.0,7.716
问题2实时调整路线,情侣游,双休日,2,castle_show,城堡日间演出,奇想花园,14:47,0,43,15:30,15:55,9,25,8.0,6.9959999999999996
问题2实时调整路线,情侣游,双休日,3,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,16:00,23,0,16:23,16:43,5,20,9.0,8.23
问题2实时调整路线,情侣游,双休日,4,garden_walk,奇想花园漫游,奇想花园,16:48,9,0,16:57,17:22,5,25,9.0,8.65
问题2实时调整路线,情侣游,双休日,5,dinner,晚餐休整,米奇大街,17:27,12,3,17:42,18:22,5,40,7.0,6.5
问题2实时调整路线,情侣游,双休日,6,tron,创极速光轮,明日世界,18:30,79,0,19:49,19:54,8,5,9.0,6.502
问题2实时调整路线,情侣游,双休日,7,fireworks,奇梦之光幻影秀,奇想花园,20:02,0,28,20:30,20:55,8,25,14.0,13.312
问题2实时调整路线,情侣游,节假日,1,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,13:51,30,0,14:21,14:41,5,20,9.0,8.02
问题2实时调整路线,情侣游,节假日,2,castle_show,城堡日间演出,奇想花园,14:46,0,44,15:30,15:55,5,25,8.0,7.04
问题2实时调整路线,情侣游,节假日,3,pirates,加勒比海盗,宝藏湾,16:04,100,0,17:44,17:54,9,10,9.0,5.856
问题2实时调整路线,情侣游,节假日,4,soaring,飞越地平线,探险岛,18:00,128,0,20:08,20:16,6,8,9.0,5.064
问题2实时调整路线,情侣游,节假日,5,fireworks,奇梦之光幻影秀,奇想花园,20:23,0,7,20:30,20:55,7,25,14.0,13.748
